date,symbol,dps_local,source_currency,dps_krw
2021-06-29,049720.KQ,150.0,KRW,150.0
2021-06-29,100840.KQ,133.33333,KRW,133.33333
2021-06-29,166090.KS,300.0,KRW,300.0
2021-06-29,344820.KS,1000.0,KRW,1000.0
2021-07-29,316140.KS,150.0,KRW,150.0
2021-07-30,LEVI,0.08,USD,91.369599609375
2021-07-30,SXT,0.39,USD,445.42679809570313
2021-08-12,LLY,0.85,USD,979.9224792480469
2021-08-20,SBLK,0.7,USD,822.7730102539062
2021-08-30,EAF,0.1,USD,116.13299560546875
2021-08-30,GLW,0.24,USD,278.719189453125
2021-09-02,BAC,0.21,USD,242.60880615234373
2021-09-08,STNG,0.1,USD,116.10000000000001
2021-09-16,TSM,0.497,USD,579.1143254394531
2021-09-22,WFG,0.195,USD,230.66940856933596
2021-09-29,000640.KS,471.29794,KRW,471.29794
2021-09-29,005490.KQ,5000.0,KRW,5000.0
2021-09-29,4680.T,3.333333,JPY,35.470917651434895
2021-09-29,6857.T,12.5,JPY,133.0159544944763
2021-10-28,LEVI,0.08,USD,93.773603515625
2021-10-29,SXT,0.41,USD,478.62169799804684
2021-11-03,GTT.PA,1.35,EUR,1841.4810791015627
2021-11-10,GLW,0.24,USD,282.59999999999997
2021-11-12,LLY,0.85,USD,1005.6434875488281
2021-11-22,TS,0.26,USD,309.82380126953126
2021-11-29,EAF,0.1,USD,119.46099853515625
2021-11-30,VRT,0.01,USD,11.90739990234375
2021-12-02,BAC,0.21,USD,247.1930969238281
2021-12-02,STNG,0.1,USD,117.71099853515625
2021-12-09,SBLK,1.25,USD,1465.7000732421875
2021-12-16,TSM,0.496,USD,587.462412109375
2021-12-23,WFG,0.2,USD,237.55400390625002
2021-12-29,000150.KS,2000.0,KRW,2000.0
2021-12-29,000210.KQ,1900.0,KRW,1900.0
2021-12-29,000640.KS,942.5959,KRW,942.5959
2021-12-29,000660.KS,1540.0,KRW,1540.0
2021-12-29,001040.KS,2300.0,KRW,2300.0
2021-12-29,001060.KS,309.34705,KRW,309.34705
2021-12-29,001120.KS,2300.0,KRW,2300.0
2021-12-29,001530.KS,172.66475,KRW,172.66475
2021-12-29,003030.KQ,1750.0,KRW,1750.0
2021-12-29,004020.KS,1000.0,KRW,1000.0
2021-12-29,004250.KS,100.0,KRW,100.0
2021-12-29,005290.KS,110.0,KRW,110.0
2021-12-29,005380.KS,4000.0,KRW,4000.0
2021-12-29,005490.KQ,5000.0,KRW,5000.0
2021-12-29,005720.KS,100.0,KRW,100.0
2021-12-29,005850.KS,500.0,KRW,500.0
2021-12-29,006060.KS,188.0,KRW,188.0
2021-12-29,006260.KS,1450.0,KRW,1450.0
2021-12-29,006650.KQ,3500.0,KRW,3500.0
2021-12-29,007210.KS,10.0,KRW,10.0
2021-12-29,007690.KS,2135.9224,KRW,2135.9224
2021-12-29,008730.KS,500.0,KRW,500.0
2021-12-29,009970.KQ,2000.0,KRW,2000.0
2021-12-29,010950.KS,2800.0,KRW,2800.0
2021-12-29,012330.KS,3000.0,KRW,3000.0
2021-12-29,012450.KS,767.29065,KRW,767.29065
2021-12-29,016380.KS,100.0,KRW,100.0
2021-12-29,017650.KS,100.0,KRW,100.0
2021-12-29,017960.KS,150.0,KRW,150.0
2021-12-29,023160.KS,100.0,KRW,100.0
2021-12-29,029460.KS,300.0,KRW,300.0
2021-12-29,032640.KQ,350.0,KRW,350.0
2021-12-29,033500.KQ,350.0,KRW,350.0
2021-12-29,035900.KQ,369.0,KRW,369.0
2021-12-29,036570.KQ,5860.0,KRW,5860.0
2021-12-29,036930.KS,155.0,KRW,155.0
2021-12-29,041830.KS,200.0,KRW,200.0
2021-12-29,043650.KS,260.0,KRW,260.0
2021-12-29,047810.KQ,200.0,KRW,200.0
2021-12-29,049720.KQ,150.0,KRW,150.0
2021-12-29,052690.KS,238.0,KRW,238.0
2021-12-29,054210.KQ,100.0,KRW,100.0
2021-12-29,067160.KQ,730.0,KRW,730.0
