account_id,label,kind,final_equity_krw,final_cash_krw,final_holdings_value_krw,money_weighted_return,cagr,max_drawdown,trade_count,open_positions,sharpe,sortino
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap20_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 20,account,618851727.4797,4012147.4704,614839580.0093,0.7031,0.391,0.2499,147.0,5.0,1.1591,1.7584
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap25_lastcontrib_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 25 Month-End Contribution,account,599515114.7114,6055581.3223,593459533.3892,0.7021,0.3828,0.2462,148.0,5.0,1.1337,1.7253
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap22_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 22,account,617022866.0588,4056661.843,612966204.2159,0.7019,0.3902,0.2499,149.0,5.0,1.157,1.7549
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap20_redeploy_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 20 Redeploy,account,615066383.2245,4018850.7835,611047532.441,0.7006,0.3894,0.2499,157.0,5.0,1.1585,1.7514
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap25_rank15_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 25 Rank 15,account,613408344.181,4052413.3267,609355930.8542,0.6994,0.3887,0.2499,149.0,5.0,1.1528,1.7488
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap25_rank25_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 25 Rank 25,account,613408344.181,4052413.3267,609355930.8542,0.6994,0.3887,0.2499,149.0,5.0,1.1528,1.7488
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap25_rank30_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 25 Rank 30,account,613408344.181,4052413.3267,609355930.8542,0.6994,0.3887,0.2499,149.0,5.0,1.1528,1.7488
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap25_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 25,account,613408344.181,4052413.3267,609355930.8542,0.6994,0.3887,0.2499,149.0,5.0,1.1528,1.7488
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap25_vol50_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 25 Vol 50,account,613408344.181,4052413.3267,609355930.8542,0.6994,0.3887,0.2499,149.0,5.0,1.1528,1.7488
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap25_vol55_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 25 Vol 55,account,613408344.181,4052413.3267,609355930.8542,0.6994,0.3887,0.2499,149.0,5.0,1.1528,1.7488
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit70_mixedentry_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 70 Mixed Entry,account,613323105.3384,4009324.4842,609313780.8542,0.6994,0.3887,0.2499,144.0,5.0,1.1492,1.7443
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap25_cool20_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 25 Cool 20,account,613180674.2087,4060793.3544,609119880.8542,0.6993,0.3886,0.2499,147.0,5.0,1.1525,1.7484
