date,account_id,decision,buy_count,sell_count,trade_count,symbols,reasons,cash_krw,holdings_value_krw,equity_krw,contributed_capital_krw,net_profit_krw,open_positions
2021-10-21,smic_follower,hold,0,0,0,,,2584.0208,22861565.9986,22864150.0194,19000000.0,3864150.0194,15
2021-10-21,smic_follower_v2,hold,0,0,0,,,9546.7738,20473935.0466,20483481.8204,19000000.0,1483481.8204,12
2021-10-22,all_weather,hold,0,0,0,,,961846.0592,19856356.331,20818202.3903,19000000.0,1818202.3903,4
2021-10-22,benchmark_gld,hold,0,0,0,,,144514.0233,19146811.2517,19291325.275,19000000.0,291325.275,1
2021-10-22,benchmark_kodex200,hold,0,0,0,,,33717.5555,18091485.0,18125202.5555,19000000.0,-874797.4445,1
2021-10-22,benchmark_qqq,hold,0,0,0,,,333066.7461,22887663.7833,23220730.5294,19000000.0,4220730.5294,1
2021-10-22,benchmark_spy,hold,0,0,0,,,493749.298,22924089.1523,23417838.4504,19000000.0,4417838.4504,1
2021-10-22,smic_follower,hold,0,0,0,,,2584.1976,22917965.9701,22920550.1677,19000000.0,3920550.1677,15
2021-10-22,smic_follower_v2,hold,0,0,0,,,9547.4272,20388348.4419,20397895.8692,19000000.0,1397895.8692,12
2021-10-25,all_weather,hold,0,0,0,,,962043.5636,19993458.0604,20955501.624,19000000.0,1955501.624,4
2021-10-25,benchmark_gld,hold,0,0,0,,,144543.6977,19279031.3176,19423575.0153,19000000.0,423575.0153,1
2021-10-25,benchmark_kodex200,hold,0,0,0,,,33724.4791,18185580.0,18219304.4791,19000000.0,-780695.5209,1
2021-10-25,benchmark_qqq,hold,0,0,0,,,333135.1376,23121787.954,23454923.0916,19000000.0,4454923.0916,1
2021-10-25,benchmark_spy,hold,0,0,0,,,493850.6839,23046830.4186,23540681.1025,19000000.0,4540681.1025,1
2021-10-25,smic_follower,hold,0,0,0,,,2584.7283,22943601.727,22946186.4553,19000000.0,3946186.4553,15
2021-10-25,smic_follower_v2,hold,0,0,0,,,9549.3877,20525769.653,20535319.0407,19000000.0,1535319.0407,12
2021-10-26,all_weather,hold,0,0,0,,,962109.4119,19902926.264,20865035.6758,19000000.0,1865035.6758,4
2021-10-26,benchmark_gld,hold,0,0,0,,,144553.5911,18982184.3415,19126737.9326,19000000.0,126737.9326,1
