매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2022-11-29,11450.0,티와이홀딩스,363280,KR,5.0,1,smic,2022-06-03,38100.0,2023-03-14,11640.0,105,1.05,p_chandelier_ATR5.5
2022-10-04,46.3209,EAF,EAF,US,5.0,1,smic,2022-05-21,,2023-02-10,52.0896,129,11.78,p_chandelier_ATR5.5
2022-05-13,17.77,CHGG,CHGG,US,5.0,1,smic,2021-11-20,43.5,2023-01-13,24.02,245,34.36,p_chandelier_ATR5.5
2022-09-26,12750.0,한미반도체,042700,KR,5.0,1,voera,2022-03-30,40200.0,2023-01-03,11200.0,99,-12.68,p_chandelier_ATR5.5
2022-09-26,25500.0,GS건설,006360,KR,5.0,1,voera,2022-03-31,60000.0,2023-01-02,21250.0,98,-17.17,p_chandelier_ATR5.5
2022-09-27,55700.0,롯데에너지머티리얼즈,020150,KR,5.0,2,ewha,2022-04-09,135500.0,2022-12-26,52600.0,90,-6.13,p_chandelier_ATR5.5
2022-09-05,36600.0,심텍,222800,KR,5.0,2,ewha,2022-03-12,66900.0,2022-12-13,30350.0,99,-17.57,p_chandelier_ATR5.5
2022-09-30,31200.0,롯데렌탈,089860,KR,5.0,1,smic,2022-04-09,63529.0,2022-11-29,28500.0,60,-9.2,p_chandelier_ATR5.5
2022-06-30,8700.0,파트론,091700,KR,5.0,1,ewha,2022-02-12,17100.0,2022-10-04,7750.0,96,-11.45,p_chandelier_ATR5.5
2022-09-06,8325.0,제이에스코퍼레이션,194370,KR,5.0,1,star,2022-03-20,,2022-09-30,7225.0,24,-13.73,p_chandelier_ATR5.5
2022-06-21,27350.0,LIG아큐버,073490,KR,5.0,2,ewha|star,2020-08-21|2022-03-17,59900.0|75600.0,2022-09-29,25450.0,100,-7.5,p_chandelier_ATR5.5
2022-09-06,22150.0,에이스토리,241840,KR,5.0,1,voera,2022-03-29,,2022-09-29,18800.0,23,-15.63,p_chandelier_ATR5.5
2022-06-24,141000.0,하이브,352820,KR,5.0,6,smic|voera,2021-11-06|2022-05-28,628000.0|381500.0,2022-09-27,140500.0,95,-0.95,p_chandelier_ATR5.5
2022-09-13,53.4666,EAF,EAF,US,5.0,1,smic,2022-05-21,,2022-09-26,43.3389,13,-19.43,p_chandelier_ATR5.5
2022-06-14,69627.1915,스튜디오드래곤,253450,KR,5.0,3,ewha|star|voera,2020-09-04|2021-08-21|2022-01-03,116000.0|104800.0,2022-09-26,65600.0,104,-6.35,p_chandelier_ATR5.5
2022-06-14,32450.0,쿠콘,294570,KR,5.0,2,ewha|smic,2021-12-04|2022-02-12,104100.0|82900.0,2022-09-26,27250.0,104,-16.53,p_chandelier_ATR5.5
2022-06-21,16461.8872,주성엔지니어링,036930,KR,5.0,4,smic|star,2021-10-16|2022-03-16,26700.0|34100.0,2022-09-13,14250.0,84,-13.96,p_chandelier_ATR5.5
2022-01-19,1088529.8173,삼성바이오로직스,207940,KR,5.0,2,voera,2021-08-17,,2022-09-06,1199471.0,230,9.53,p_chandelier_ATR5.5
2022-07-01,80100.0,SOOP,067160,KR,5.0,3,ewha|voera,2021-09-15|2022-02-12,185200.0|173000.0,2022-09-06,72900.0,67,-9.53,p_chandelier_ATR5.5
2022-04-25,93000.0,에스티팜,237690,KR,5.0,4,smic,2021-12-04,185000.0,2022-09-05,95400.0,133,1.97,p_chandelier_ATR5.5
2022-03-15,117962.0,SKC,011790,KR,5.0,2,ewha|smic,2020-05-09|2021-10-09,70292.0|197500.0,2022-07-01,125951.0,108,6.13,p_chandelier_ATR5.5
2022-05-12,93173.1404,SOOP,067160,KR,5.0,3,ewha|voera,2021-09-15|2022-02-12,185200.0|173000.0,2022-06-30,82000.0,49,-12.52,p_chandelier_ATR5.5
2022-03-17,97416.0,포스코퓨처엠,003670,KR,5.0,2,ewha,2021-09-28,192000.0,2022-06-24,108562.0,99,10.77,p_chandelier_ATR5.5
2022-02-15,45300.0,HL만도,204320,KR,5.0,3,ewha,2021-10-09,73400.0,2022-06-21,46750.0,126,2.58,p_chandelier_ATR5.5
2022-04-25,60600.0,카카오게임즈,293490,KR,5.0,1,smic,2021-11-06,151300.0,2022-06-21,53600.0,57,-12.08,p_chandelier_ATR5.5
2022-04-26,253000.0,하이브,352820,KR,5.0,6,smic,2021-11-06,628000.0,2022-06-14,192000.0,49,-24.57,p_chandelier_ATR5.5
2022-04-19,86533.4747,대주전자재료,078600,KR,5.0,2,ewha,2021-11-27,142000.0,2022-06-14,76300.0,56,-12.35,p_chandelier_ATR5.5
2022-01-26,31550.0,디앤씨미디어,263720,KR,5.0,1,ewha,2021-08-21,65700.0,2022-05-13,25750.0,107,-18.87,p_chandelier_ATR5.5
2022-03-07,6.5876,OPEN,OPEN,US,5.0,1,smic,2021-11-20,,2022-05-12,5.39,66,-18.67,p_chandelier_ATR5.5
2022-01-11,336000.0,NAVER,035420,KR,5.0,3,ewha|smic|voera,2020-05-23|2021-05-14|2021-08-21,300766.0|525000.0|550000.0,2022-04-26,288500.0,105,-14.65,p_chandelier_ATR5.5
