source_file,school,report_date,filename_date,market,company,ticker,exchange,rating,target_price,target_price_raw,report_current_price,report_current_price_raw,stated_upside_pct,parse_issue
data\markdown\star\2025-08-31_STAR_인텔리안테크.md,star,2025-08-22,2025-08-31,KR,인텔리안테크,189300,KOSDAQ,Buy,71700.0,"71,700",45250.0,"45,250",,
data\markdown\star\2025-08-31_STAR_코리아에프티 (1).md,star,2025-04-10,2025-08-31,KR,코리아에프티,123410,KOSDAQ,Buy,8450.0,"8,450",5850.0,"5,850",,
data\markdown\star\2025-08-31_STAR_코미코.md,star,2025-07-24,2025-08-31,KR,코미코,183300,KOSDAQ,Buy,87900.0,"87,900",60500.0,"60,500",,
data\markdown\star\2025-08-31_STAR_토비스.md,star,2025-08-22,2025-08-31,KR,토비스,051360,KOSDAQ,Buy,30200.0,"30,200",17280.0,"17,280",,
data\markdown\star\2025-08-31_STAR_파미셀.md,star,2025-07-24,2025-08-31,KR,파미셀,005690,KOSPI,Buy,24020.0,"24,020",12770.0,"12,770",,
data\markdown\star\2025-08-31_STAR_풍산.md,star,2025-07-10,2025-08-31,KR,풍산,103140,KOSPI,Buy,163500.0,"163,500",127800.0,"127,800",,
data\markdown\star\2025-08-31_STAR_하이트진로 (2).md,star,2025-08-22,2025-08-31,KR,하이트진로,000080,KOSPI,Buy,33500.0,"33,500",19090.0,"19,090",,
data\markdown\star\2025-08-31_STAR_한미약품.md,star,2025-04-10,2025-08-31,KR,한미약품,128940,KOSPI,Buy,406000.0,"406,000원",281500.0,"281,500",,
data\markdown\star\2025-08-31_STAR_한중엔시에스.md,star,2025-08-22,2025-08-31,KR,한중엔시에스,107640,KOSDAQ,Buy,45950.0,"45,950",30900.0,"30,900",,
data\markdown\star\2025-08-31_STAR_현대무벡스 (2).md,star,2025-08-22,2025-08-31,KR,현대무벡스,319400,KOSDAQ,Buy,6400.0,"6,400",4405.0,"4,405",,
data\markdown\star\2025-08-31_STAR_휴메딕스 (1).md,star,2025-08-22,2025-08-31,KR,휴메딕스,200670,KOSDAQ,Sell,40750.0,"40,750",54300.0,"54,300",,
data\markdown\star\2025-09-02_STAR_율촌화학 (1).md,star,2025-08-22,2025-09-02,KR,율촌화학,008730,KOSPI,Buy,47550.0,"47,550",31900.0,"31,900",,
data\markdown\star\2025-12-12_KEYSS_STAR_씨어스테크놀로지.md,star,2025-12-12,2025-12-12,KR,씨어스테크놀로지,458870,KOSDAQ,Buy,291700.0,"291,700",291700.0,"291,700원",,
data\markdown\star\2025-12-12_STAR_PGY.md,star,2025-11-13,2025-12-12,,PGY,,,Buy,61.47,61.47,61.47,61.47,,non_us_kr_or_unparsed_market;missing_ticker
