source_file,school,report_type,ocr_recovered,report_date,authored_date,filename_date,market,company,ticker,exchange,rating,target_price,target_price_raw,report_current_price,report_current_price_raw,stated_upside_pct,parse_issue,qa_flags,data_issue
data/markdown/star/2023-11-29_STAR_ESS 산업.md,star,sector,False,2023-11-29,2023-11-09,2023-11-29,,ESS 산업,,,Buy,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price,,
data/markdown/star/2023-11-29_STAR_바이오 산업.md,star,sector,False,2023-11-29,2023-11-11,2023-11-29,,바이오 산업,,,Buy,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price,,
data/markdown/star/2024-06-30_STAR_그리드 산업.md,star,sector,False,2024-06-30,,2024-06-30,,그리드 산업,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2024-06-30_STAR_로봇 산업.md,star,sector,False,2024-06-30,,2024-06-30,,로봇 산업,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2024-06-30_STAR_방위 산업.md,star,sector,False,2024-06-30,,2024-06-30,,방위 산업,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2025-01-09_STAR_원자력 발전산업.md,star,sector,False,2025-01-09,2024-12-05,2025-01-09,,원자력 발전산업,,,Neutral,,,,,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2025-02-02_STAR_비만치료제 산업.md,star,sector,False,2025-02-02,2024-11-05,2025-02-02,,비만치료제 산업,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2025-06-19_STAR_25_매크로시황.md,star,sector,False,2025-06-19,,2025-06-19,,25_매크로시황,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2025-06-19_STAR_우주항공 산업.md,star,sector,False,2025-06-19,,2025-06-19,,우주항공 산업,,,Buy,96600.0,"96,600원",,,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2025-06-19_STAR_차이나 테크 산업.md,star,sector,False,2025-06-19,2022-12-31,2025-06-19,,차이나 테크 산업,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2025-12-12_STAR_PGY.md,star,sector,False,2025-12-12,2025-11-13,2025-12-12,,PGY,,,Buy,61.47,61.47,61.47,61.47,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2025-12-12_STAR_중국 반도체 굴기.md,star,sector,False,2025-12-12,,2025-12-12,,중국 반도체 굴기,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2025-12-13_STAR_GaN 반도체.md,star,sector,False,2025-12-13,2025-01-02,2025-12-13,,GaN 반도체,,,Hold,,,,,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2026-06-12_STAR_FANUC.md,star,sector,False,2026-06-12,2026-05-28,2026-06-12,FOREIGN,FANUC,,,Buy,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price,,
data/markdown/star/2026-06-12_STAR_FIGR.md,star,sector,False,2026-06-12,2026-06-04,2026-06-12,,FIGR,,,Buy,47.12,47.12달러,30.98,30.98,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2026-06-12_STAR_패권의 시대_pdf.md,star,sector,False,2026-06-12,,2026-06-12,,패권의 시대_pdf,,,Buy,163500.0,"163,500원",,,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2026-06-12_STAR_하반기투자전략.md,star,sector,False,2026-06-12,,2026-06-12,,하반기투자전략,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2026-06-13_STAR_FANUC.md,star,sector,False,2026-06-13,2026-05-28,2026-06-13,FOREIGN,FANUC,,,Buy,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price,,
data/markdown/star/2026-06-13_STAR_FIGR.md,star,sector,False,2026-06-13,2026-06-04,2026-06-13,,FIGR,,,Buy,47.12,47.12달러,30.98,30.98,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2026-06-13_STAR_전략광물.md,star,sector,False,2026-06-13,,2026-06-13,,전략광물,,,Buy,163500.0,"163,500원",,,,non_us_kr_or_unparsed_market;missing_ticker,,
data/markdown/star/2026-06-13_STAR_하반기투자전략.md,star,sector,False,2026-06-13,,2026-06-13,,하반기투자전략,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker,,
